point_id,timestamp,set_no,game_no,score_before_point,server,serve_number,serve_code,return_code,return_aggr,rally_len_shots,stroke_seq,pattern,tactic_code,pressure_flags,final_shot_type,final_outcome,court_pos_final,notes
20260124154309647797,2026-01-24 15:43:09,1,9,30 - 0,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,attack good
20260124154338820215,2026-01-24 15:43:38,1,9,30 - 15,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,hit the net
20260124154414317786,2026-01-24 15:44:14,1,9,30 - 30,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,overhead fail
20260124154449104567,2026-01-24 15:44:49,1,9,30 - 40,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,too long
20260124154505104800,2026-01-24 15:45:05,2,1,0 - 0,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,too long
20260124154657980658,2026-01-24 15:46:57,2,1,15 - 0,o,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,
20260124154741200441,2026-01-24 15:47:41,2,1,15 - 15,o,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,volley error
20260124154926350851,2026-01-24 15:49:26,2,1,15 - 30,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,error
20260124155031080511,2026-01-24 15:50:31,2,1,15 - 40,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,
20260124155112234734,2026-01-24 15:51:12,2,1,30 - 40,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,attach op
20260124155256906746,2026-01-24 15:52:56,2,1,Deuce,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,long ralley
20260124155339136304,2026-01-24 15:53:39,2,2,0 - 0,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,attak op. 
20260124155445401708,2026-01-24 15:54:45,2,2,15 - 0,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op return error
20260124155516077251,2026-01-24 15:55:16,2,2,15 - 15,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,moved by op. 
20260124155542720310,2026-01-24 15:55:42,2,2,30 - 15,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op return error
20260124155626971442,2026-01-24 15:56:26,2,2,30 - 30,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,moved by op
20260124155719710951,2026-01-24 15:57:19,2,2,40 - 30,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op tried bait. attak win
20260124155737163902,2026-01-24 15:57:37,2,2,Deuce,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,backhand error
20260124155812483230,2026-01-24 15:58:12,2,3,0 - 0,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,volley by op
20260124160057752066,2026-01-24 16:00:57,2,3,15 - 0,o,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,
20260124160118501269,2026-01-24 16:01:18,2,3,15 - 15,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,
20260124160201686671,2026-01-24 16:02:01,2,3,15 - 30,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,moved by op
20260124160246161911,2026-01-24 16:02:46,2,3,30 - 30,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,attack 
20260124160313733930,2026-01-24 16:03:13,2,3,30 - 40,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,volley error
20260124160517294815,2026-01-24 16:05:17,2,4,0 - 0,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,stupid error
