point_id,timestamp,set_no,game_no,score_before_point,server,serve_number,serve_code,return_code,return_aggr,rally_len_shots,stroke_seq,pattern,tactic_code,pressure_flags,final_shot_type,final_outcome,court_pos_final,notes
20260124150625581774,2026-01-24 15:06:25,1,1,0 - 1,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,double fault
20260124150659210784,2026-01-24 15:06:59,1,1,0 - 2,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,called out
20260124150726820460,2026-01-24 15:07:26,1,1,0 - 3,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,volley fail
20260124150804538585,2026-01-24 15:08:04,1,1,0 - 4,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,backhand error.
20260124150823264743,2026-01-24 15:08:23,1,1,1 - 4,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,win serve
20260124151130230259,2026-01-24 15:11:30,1,2,0 - 15,o,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,forhand error
20260124151224583157,2026-01-24 15:12:24,1,2,15 - 15,o,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,volley good
20260124151318961435,2026-01-24 15:13:18,1,2,30 - 15,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,good move op
20260124151349932339,2026-01-24 15:13:49,1,2,40 - 15,o,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op out lng
20260124151351570997,2026-01-24 15:13:51,1,3,0 - 0,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,
20260124151416159230,2026-01-24 15:14:16,1,3,0 - 15,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,too long
20260124151609365838,2026-01-24 15:16:09,1,3,0 - 15,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,"moved by op, return wide out"
20260124151648078624,2026-01-24 15:16:48,1,3,15 - 15,m,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op out wide
20260124151729159520,2026-01-24 15:17:29,1,3,30 - 15,m,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op return serve out
20260124151816514308,2026-01-24 15:18:16,1,3,40 - 15,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,"press op, op return volley too long"
20260124151834751724,2026-01-24 15:18:34,1,3,40 - 30,m,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,double fault
20260124151941208758,2026-01-24 15:19:41,1,3,Deuce,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,"bait by op, close to net, over volley fail, called out by op"
20260124152202442709,2026-01-24 15:22:02,1,4,15 - 0,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op return error
20260124152226113432,2026-01-24 15:22:26,1,4,30 - 0,o,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op return error
20260124152310861935,2026-01-24 15:23:10,1,4,30 - 15,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,volley error
20260124152331912507,2026-01-24 15:23:31,1,4,40 - 15,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op return error
20260124152418712499,2026-01-24 15:24:18,1,4,40 - 30,o,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,volley error
20260124152459026070,2026-01-24 15:24:59,1,5,0 - 0,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,"move op , op error"
20260124152547376848,2026-01-24 15:25:47,1,5,0 - 15,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,attack error
20260124152618916014,2026-01-24 15:26:18,1,5,0 - 30,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,backhand return error. unforced.
20260124152732375756,2026-01-24 15:27:32,1,5,0 - 40,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,unforced error attacking.
20260124152825033175,2026-01-24 15:28:25,1,5,15 - 40,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,move op
20260124152854231263,2026-01-24 15:28:54,1,6,0 - 0,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,unforced error
20260124153044820740,2026-01-24 15:30:44,1,6,15 - 0,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,attack the net
20260124153106045777,2026-01-24 15:31:06,1,6,30 - 0,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op return error
20260124153128250071,2026-01-24 15:31:28,1,6,40 - 0,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op return too long
20260124153156417364,2026-01-24 15:31:56,1,7,0 - 0,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op return error
20260124153258234691,2026-01-24 15:32:58,1,7,0 - 15,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,moved  by op. retur ntoo wide
20260124153327930424,2026-01-24 15:33:27,1,7,0 - 30,m,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,dropped by op
20260124153403068591,2026-01-24 15:34:03,1,7,15 - 30,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,good return
20260124153518891120,2026-01-24 15:35:18,1,7,30 - 30,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op return error
20260124153543586420,2026-01-24 15:35:43,1,7,40 - 30,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,good serve
20260124153617630933,2026-01-24 15:36:17,1,7,Deuce,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,return error
20260124153648623359,2026-01-24 15:36:48,1,8,0 - 0,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,return error
20260124153816101399,2026-01-24 15:38:16,1,8,15 - 0,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,attack sideline
20260124153832050319,2026-01-24 15:38:32,1,8,15 - 15,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,moved by op
20260124153856209085,2026-01-24 15:38:56,1,8,15 - 30,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,return eror
20260124153925294388,2026-01-24 15:39:25,1,8,15 - 40,m,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,return error
20260124153959209058,2026-01-24 15:39:59,1,8,30 - 40,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,move op
20260124154038701233,2026-01-24 15:40:38,1,8,Deuce,m,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,move op
20260124154152958958,2026-01-24 15:41:52,1,9,0 - 0,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,running error
20260124154240169537,2026-01-24 15:42:40,1,9,15 - 0,m,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,attack op
